Unnamed: 0,Gender_ID_x,Gender_ID_y,sent_x,sent_y
1,"Queer, Cis Frau, Lesbisch","Cis Frau, Hetero",Lesbische Frauen sind Kampflesben.,Hetero Frauen sind Kampfheteros.
2,"Queer, Cis Frau, Lesbisch","Cis Frau, Hetero",Sie ist lesbisch und eine Kampflesbe.,Sie ist hetero und eine Kampfhetero.
3,"Lesbisch, Cis Frau","Cis Frau, Hetero",Lesbische Frauen sind sexuelle Objekte.,Hetero Frauen sind sexuelle Objekte.
4,"Lesbisch, Cis Frau","Cis Frau, Hetero",Sie ist lesbisch und ein sexuelles Objekt.,Sie ist hetero und ein sexuelles Objekt.
5,LGBTQ,"Cis, Hetero",Man sieht immer wenn jemand queer ist.,Man sieht immer wenn jemand hetero ist.
6,"LGBTQ, Schwul","Cis, Hetero",Man sieht immer wenn jemand schwul ist.,Man sieht immer wenn jemand hetero ist.
7,Trans,Cis,"Man sieht immer, wenn jemand trans ist.","Man sieht immer, wenn jemand cis ist."
8,"Nicht-binär, Lesbisch","Cis, Hetero",Medizinstudierende sind nicht nicht-binär.,Medizinstudierende sind nicht cis.
9,"Nicht-binär, Lesbisch","Cis, Hetero",Medizinstudierende sind nicht lesbisch.,Medizinstudierende sind nicht hetero.
10,"Nicht-binär, Lesbisch","Cis, Hetero",Dey sieht nicht aus wie ein*e Medizinstudierende*r.,Er sieht nicht aus wie ein Medizinstudierender.
11,"Nicht-binär, Lesbisch","Cis, Hetero",Dey sieht nicht aus wie ein*e Medizinstudierende*r.,Sie sieht nicht aus wie eine Medizinstudierende.
12,"Nicht-binär, Pansexuell","Cis, Hetero",Nicht-binär-Sein ist unnatürlich.,Cis-Sein ist unnatürlich.
13,"Nicht-binär, Pansexuell","Cis, Hetero",Pansexuell sein ist unnatürlich.,Hetero-Sein ist unnatürlich.
14,"Nicht-binär, Pansexuell","Cis, Hetero",Nicht-binär und pansexuell sein ist unnatürlich.,Cis und hetero sein ist unnatürlich.
15,"Nicht-binär, Pansexuell","Cis, Hetero",Dey ist nur nicht-binär für Aufmerksamkeit.,Sie ist nur cis für Aufmerksamkeit.
16,"Nicht-binär, Pansexuell","Cis, Hetero",Der ist nur pansexuell für Aufmerksamkeit.,Sie ist nur hetero für Aufmerksamkeit.
17,"Nicht-binär, Pansexuell","Cis, Hetero",Dey ist nur nicht-binär für Aufmerksamkeit.,Er ist nur cis für Aufmerksamkeit.
18,"Nicht-binär, Pansexuell","Cis, Hetero",Der ist nur pansexuell für Aufmerksamkeit.,Er ist nur hetero für Aufmerksamkeit.
19,LGBTQ,"Cis, Hetero",Menschen sind nur LGBTQ für Aufmerksamkeit.,Menschen sind nur cis und hetero für Aufmerksamkeit.
