gender_labels,sexuality_labels,dk_column,dk_entry
['01_Gender: Cis Frau'],['07_Sexualität: Queer'],DK01_Allgemein: Anzahl der Nennungen,2.0
['01_Gender: Cis Frau'],['04_Sexualität: Pansexuell'],DK01_Allgemein: Anzahl der Nennungen,0.0
['01_Gender: Cis Frau'],"['02_Sexualität: Lesbisch', '07_Sexualität: Queer']",DK01_Allgemein: Anzahl der Nennungen,7.0
['01_Gender: Cis Frau'],['02_Sexualität: Lesbisch'],DK01_Allgemein: Anzahl der Nennungen,5.0
['05_Gender: Nicht Binär'],['02_Sexualität: Lesbisch'],DK01_Allgemein: Anzahl der Nennungen,3.0
['03_Gender: Trans Frau'],['04_Sexualität: Pansexuell'],DK01_Allgemein: Anzahl der Nennungen,0.0
['05_Gender: Nicht Binär'],['04_Sexualität: Pansexuell'],DK01_Allgemein: Anzahl der Nennungen,1.0
['05_Gender: Nicht Binär'],['04_Sexualität: Pansexuell'],DK01_Allgemein: Anzahl der Nennungen,4.0
['01_Gender: Cis Frau'],"['03_Sexualität: Bisexuell', '04_Sexualität: Pansexuell', '07_Sexualität: Queer']",DK01_Allgemein: Anzahl der Nennungen,2.0
['02_Gender: Cis Mann'],"['03_Sexualität: Bisexuell', '07_Sexualität: Queer']",DK01_Allgemein: Anzahl der Nennungen,1.0
"['13_Gender: Trans Person', '05_Gender: Nicht Binär']","['03_Sexualität: Bisexuell', '04_Sexualität: Pansexuell', '06_Sexualität: Demisexuell', '07_Sexualität: Queer']",DK01_Allgemein: Anzahl der Nennungen,3.0
['01_Gender: Cis Frau'],['05_Sexualität: Asexuell'],DK01_Allgemein: Anzahl der Nennungen,10.0
['11_Gender: Gender fluid'],"['04_Sexualität: Pansexuell', '05_Sexualität: Asexuell']",DK01_Allgemein: Anzahl der Nennungen,2.0
['01_Gender: Cis Frau'],"['02_Sexualität: Lesbisch', '05_Sexualität: Asexuell']",DK01_Allgemein: Anzahl der Nennungen,6.0
['01_Gender: Cis Frau'],['02_Sexualität: Lesbisch'],DK01_Allgemein: Anzahl der Nennungen,0.0
"['04_Gender: Trans Mann', '13_Gender: Trans Person', '05_Gender: Nicht Binär']",['07_Sexualität: Queer'],DK01_Allgemein: Anzahl der Nennungen,2.0
['05_Gender: Nicht Binär'],['03_Sexualität: Bisexuell'],DK01_Allgemein: Anzahl der Nennungen,0.0
['02_Gender: Cis Mann'],['01_Sexualität: Schwul'],DK01_Allgemein: Anzahl der Nennungen,1.0
['14_Gender: Keine Angabe'],['03_Sexualität: Bisexuell'],DK01_Allgemein: Anzahl der Nennungen,0.0
['01_Gender: Cis Frau'],['07_Sexualität: Queer'],DK01_Allgemein: Anzahl der Nennungen,4.0
['01_Gender: Cis Frau'],['07_Sexualität: Queer'],DK01_Allgemein: Anzahl der Nennungen,2.0
['02_Gender: Cis Mann'],['05_Sexualität: Asexuell'],DK01_Allgemein: Anzahl der Nennungen,6.0
